Order #,Release Year,Rotten Tomatoes,Length (Minutes)
1381,1995,,114
1382,1985,,87
1383,1994,,110
1384,1997,,98
1385,2016,,107
1386,2018,,110
1387,1986,,93
1388,1996,,108
1389,1991,,83
1390,1990,,102
1391,2006,,118
1392,1985,,89
1393,1999,,100
1394,1997,,124
1395,1987,,93
1396,1992,,93
1397,1985,,87
1398,1986,,84
1399,1987,,88
1400,1985,,92
1401,1990,,95
1402,1987,,107
1403,2005,,105
1404,1994,,104
1405,2000,,135
1406,1960,,109
1407,1990,,102
1408,1990,,102
1409,1988,,128
1410,1999,,124
1411,2007,,111
1412,1986,,106
1413,2018,,140
1414,1988,,104
1415,1994,,93
1416,1991,,107
1417,1994,,128
1418,1992,,99
1419,2014,,106
1420,1991,,102
1421,2004,,105
1422,2001,,132
1423,2024,,114
1424,2000,,93
1425,2006,,102
1426,1990,,104
1427,1993,,103
1428,2005,,97
1429,1999,,116
1430,1998,,98
1431,1990,,123
1432,2001,,124
1433,2023,,117
1434,2000,,116
1435,2018,,105
1436,1954,,207
1437,1999,,95
1438,2014,,93
1439,1980,,146
1440,2005,,106
1441,2007,,93
1442,1998,,116
1443,1998,,121
1444,1992,,107
1445,2015,,122
1446,2012,,90
1447,1998,,99
1448,1993,,107
1449,1992,,126
1450,2020,,94
1451,2000,,130
1452,2020,,40
1453,1994,,110
1454,2020,,111
1455,2019,,130
1456,1984,,111
1457,1993,,109
1458,1977,,121
1459,1980,,124
1460,1983,,131
1461,2004,,101
1462,1983,,93
1463,1993,,102
1464,1996,,114
1465,2002,,124
